index,type,name,resident,streamed,parentStack
26,xmodelmesh,p7_anim_sin_bar_room_door_lt_lod0ae0166fd,1680,0,|p7_anim_sin_bar_room_door|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
27,xmodelmesh,p7_zm_der_door_buy_std_left_lod0d6a0740d,2224,0,|p7_zm_der_door_buy_std_left|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
28,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08fd8a2fc,1280,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
29,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod03da2116b,1392,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
30,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0f35667dd,1168,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
31,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod034c88b59,1360,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
32,xmodelmesh,p7_zm_der_door_buy_std_right_lod062191269,2144,0,|p7_zm_der_door_buy_std_right|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
33,xmodelmesh,p7_zm_der_pswitch_body_lod05296e5de,3984,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
34,xmodelmesh,p7_zm_zod_door_smashed_zombie_entrance_lod4dfeec0aa,480,4624,|p7_zm_zod_door_smashed_zombie_entrance|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
35,xmodelmesh,p7_inf_toilet_vintage_bowl_lod0aea08755,2864,0,|p7_inf_toilet_vintage_bowl|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
36,xmodelmesh,p7_inf_toilet_vintage_lid_lod0ea3b0564,1168,0,|p7_inf_toilet_vintage_lid|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
37,xmodelmesh,p7_urinal_bathroom_lod448de2f52,2304,0,|p7_urinal_bathroom|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
38,xmodelmesh,p7_cash_register_vintage_lod6edc44f25,688,9776,|p7_cash_register_vintage|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
39,xmodelmesh,p7_eth_streetlight_metal_01_lod5804db81,576,7104,|p7_eth_streetlight_metal_01_emissive|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
40,xmodelmesh,p7_3arc_lobby_plant_lod0673b1052,2672,0,|p7_3arc_lobby_plant|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
41,xmodelmesh,p7_foliage_plant_aloe_medium_lod4158f07da,3072,0,|p7_foliage_plant_aloe_medium_striped|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
42,xmodelmesh,p7_zm_zod_retro_fridge_lod072539f0b,4096,0,|p7_zm_zod_retro_fridge|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
43,xmodelmesh,p7_anim_zm_barricade_board_01_lod0db85d7d7,1632,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
44,xmodelmesh,p7_anim_zm_barricade_board_04_lod01e93d5f,1936,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
45,xmodelmesh,p7_zm_der_pswitch_handle_lod0250846ac,2080,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
46,xmodelmesh,p7_zm_vending_packapunch_lod0154ac890,1376,19152,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
47,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod03cd1fa2a,352,4576,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
48,xmodelmesh,p7_zm_der_magic_box_fake_lod090d351d4,352,9776,|p7_zm_der_magic_box_fake|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
49,xmodelmesh,p7_anim_sin_bar_room_door_lt_lod07ba2424f,2208,0,|p7_anim_sin_bar_room_door|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
50,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod015c23f93,1968,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
51,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0c7aec304,1552,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
52,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0e0592c13,2048,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
53,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod0d8f17acf,1504,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
54,xmodelmesh,p7_zm_der_pswitch_body_lod03574d976,688,6736,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
55,xmodelmesh,p7_zm_zod_door_smashed_zombie_entrance_lod492492ce,480,8064,|p7_zm_zod_door_smashed_zombie_entrance|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
56,xmodelmesh,p7_inf_toilet_vintage_bowl_lod0b49554aa,352,5072,|p7_inf_toilet_vintage_bowl|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
57,xmodelmesh,p7_inf_toilet_vintage_lid_lod0cc3ad90c,2272,0,|p7_inf_toilet_vintage_lid|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
58,xmodelmesh,p7_urinal_bathroom_lod4a73dcd4d,4096,0,|p7_urinal_bathroom|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
59,xmodelmesh,p7_cash_register_vintage_lod51f82ab57,800,16768,|p7_cash_register_vintage|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
60,xmodelmesh,p7_eth_streetlight_metal_01_lod53e884eea,576,9360,|p7_eth_streetlight_metal_01_emissive|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
61,xmodelmesh,p7_box_cardboard_a_open01_lod4d4e024ea,2224,0,|p7_box_cardboard_a_open01|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
62,xmodelmesh,p7_debris_trash_cup_red_01_lod07574b73e,1360,0,|p7_debris_trash_cup_red_01|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
63,xmodelmesh,p7_3arc_lobby_plant_lod0eeaf6409,4128,0,|p7_3arc_lobby_plant|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
64,xmodelmesh,p7_foliage_plant_aloe_medium_lod4130fafe6,240,4656,|p7_foliage_plant_aloe_medium_striped|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
65,xmodelmesh,p7_zm_zod_retro_fridge_lod0913e0532,1024,6592,|p7_zm_zod_retro_fridge|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
66,xmodelmesh,p7_anim_zm_barricade_board_01_lod0eadb8602,3216,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
67,xmodelmesh,p7_anim_zm_barricade_board_02_lod06d33a86a,2160,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
68,xmodelmesh,p7_anim_zm_barricade_board_03_lod0790338f9,2288,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
69,xmodelmesh,p7_anim_zm_barricade_board_04_lod0bb3edfb6,3184,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
70,xmodelmesh,p7_anim_zm_barricade_board_05_lod09bc63c35,2160,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
71,xmodelmesh,p7_anim_zm_barricade_board_06_lod0ae9daec0,2288,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
72,xmodelmesh,p7_zm_der_pswitch_handle_lod066495e4b,2960,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
73,xmodelmesh,p7_zm_vending_packapunch_lod0c57e5236,1488,33152,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
74,xmodelmesh,p7_zm_der_magic_box_fake_trunk_lod0d243ccf1,352,8448,|p7_zm_der_magic_box_fake_trunk|xmodel|p7_zm_der_magic_box_fake|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
75,xmodelmesh,p7_zm_der_magic_box_fake_lod0b7c08597,352,18816,|p7_zm_der_magic_box_fake|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
76,xmodelmesh,p7_zm_der_magic_box_lod41c5f5361,928,68080,|p7_zm_der_magic_box|xmodel|zmcore_magicbox|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
77,xmodelmesh,p7_anim_sin_bar_room_door_lt_lod0b58455fd,3920,0,|p7_anim_sin_bar_room_door|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
78,xmodelmesh,p7_zm_der_door_buy_std_left_lod0450f27c6,2368,0,|p7_zm_der_door_buy_std_left|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
79,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod075527b40,2816,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
80,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod0c5acd6f,2656,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
81,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0567f2c88,3440,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
82,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod041c78fa2,2672,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_zod_zombie_fem_body1_gib_def_hat|scriptbundle|c_zom_zod_zombie_fem3_hat_skin3|character|spawner_zm_zod_zombie6|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
83,xmodelmesh,p7_zm_der_door_buy_std_right_lod02ba415b5,2384,0,|p7_zm_der_door_buy_std_right|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
84,xmodelmesh,p7_zm_der_pswitch_body_lod0c02f5a4a,800,12336,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
85,xmodelmesh,p7_zm_zod_door_smashed_zombie_entrance_lod493fadc02,480,8192,|p7_zm_zod_door_smashed_zombie_entrance|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
86,xmodelmesh,p7_box_wood_01_long_lod4519affb9,352,11648,|p7_box_wood_01_long|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
87,xmodelmesh,p7_box_wood_01_small_lod4e4d5ba46,352,8000,|p7_box_wood_01_sm|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
88,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0e81730c,1616,0,|p7_debris_wood_plywood_2x8_bowed_dirty|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
89,xmodelmesh,p7_television_wall_xl_lod04a27bfd0,1696,0,|p7_television_wall_xl|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
90,xmodelmesh,p7_inf_toilet_vintage_bowl_lod05a6cfe,352,8464,|p7_inf_toilet_vintage_bowl|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
91,xmodelmesh,p7_inf_toilet_vintage_lid_lod02c272e72,3344,0,|p7_inf_toilet_vintage_lid|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
92,xmodelmesh,p7_urinal_bathroom_lod4b926052e,224,6944,|p7_urinal_bathroom|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
93,xmodelmesh,p7_sink_kitchen_stainless_modern_01_lod09ca505c6,1600,0,|p7_sink_kitchen_stainless_modern_01|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
94,xmodelmesh,p7_cash_register_vintage_lod462b6da8b,1024,36176,|p7_cash_register_vintage|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
95,xmodelmesh,p7_eth_streetlight_metal_01_lod4195dedc2,688,25648,|p7_eth_streetlight_metal_01_emissive|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
96,xmodelmesh,p7_box_cardboard_a_open01_lod415df7635,352,7552,|p7_box_cardboard_a_open01|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
97,xmodelmesh,p7_debris_trash_cup_red_01_lod0650ff374,1376,0,|p7_debris_trash_cup_red_01|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
98,xmodelmesh,p7_3arc_lobby_plant_lod01e70bd15,352,5616,|p7_3arc_lobby_plant|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
99,xmodelmesh,p7_foliage_plant_aloe_medium_lod4b5a92887,240,9264,|p7_foliage_plant_aloe_medium_striped|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
100,xmodelmesh,p7_zm_zod_retro_fridge_lod05f3c3e28,1136,11312,|p7_zm_zod_retro_fridge|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
101,xmodelmesh,p7_dispenser_paper_towel_lod4655744ea,464,6736,|p7_dispenser_paper_towel|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
102,xmodelmesh,p7_sink_bathroom_lod47347e6d2,1200,0,|p7_sink_bathroom|xmodel|maps/zm/zm_goldendragon.d3dbsp|gfx_map|zone_source/zm_goldendragon.zone|csv
103,xmodelmesh,p7_anim_zm_barricade_board_01_lod080d2d065,240,5024,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
104,xmodelmesh,p7_anim_zm_barricade_board_02_lod014b845ac,3952,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
105,xmodelmesh,p7_anim_zm_barricade_board_03_lod0e436a2ad,4128,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
106,xmodelmesh,p7_anim_zm_barricade_board_04_lod0f3b15342,240,5216,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
107,xmodelmesh,p7_anim_zm_barricade_board_05_lod0543f9a9a,4032,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
108,xmodelmesh,p7_anim_zm_barricade_board_06_lod010010904,4080,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
109,xmodelmesh,p7_zm_der_pswitch_handle_lod063410b3d,464,5168,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
110,xmodelmesh,p7_zm_vending_packapunch_lod053be907d,1600,63360,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
111,xmodelmesh,c_c_zom_der_hellhound_lod46c92a12,512,56080,|c_zom_der_hellhound_fb|xmodel|c_zom_der_hellhound|character|spawner_zm_factory_zombie_dog|aitype|maps/zm/zm_goldendragon.d3dbsp|col_map|zone_source/zm_goldendragon.zone|csv
